Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,103.879997,103.919998,102.820000,103.050003,100.300415,64800
2018-01-17,102.199997,102.919998,101.970001,102.309998,99.580147,32500
2018-01-18,104.230003,104.830002,104.220001,104.669998,101.877182,35600
2018-01-19,109.660004,111.970001,109.519997,111.800003,108.816940,133900
2018-01-22,111.660004,112.419998,111.570000,112.309998,109.313324,94400
2018-01-23,113.489998,114.250000,113.430000,114.250000,111.201569,58300
2018-01-24,115.720001,115.809998,114.480003,114.800003,111.736893,54200
2018-01-25,114.309998,114.559998,113.160004,113.629997,110.598106,83200
2018-01-26,114.029999,115.070000,114.019997,114.930000,111.863419,60900
2018-01-29,113.730003,114.330002,113.620003,114.019997,110.977699,44000
2018-01-30,114.400002,114.870003,114.290001,114.519997,111.464355,50500
2018-01-31,116.209999,116.839996,115.940002,116.059998,112.963264,52800
2018-02-01,114.720001,114.870003,113.860001,114.730003,111.668755,40900
2018-02-02,113.059998,113.730003,111.589996,111.589996,108.612534,28700
2018-02-05,110.559998,111.160004,106.360001,106.639999,103.794617,45000
2018-02-06,107.360001,110.209999,107.190002,110.209999,107.269363,40400
2018-02-07,112.760002,113.309998,111.459999,111.709999,108.729340,66700
2018-02-08,112.040001,112.040001,108.500000,109.099998,106.188980,24600
2018-02-09,108.309998,109.709999,106.129997,109.070000,106.159782,35700
2018-02-12,109.589996,109.970001,109.050003,109.849998,106.918968,28200
2018-02-13,109.010002,109.430000,108.419998,109.349998,106.432304,26700
2018-02-14,107.800003,111.250000,107.779999,110.809998,107.853348,54700
2018-02-15,111.129997,111.459999,110.040001,111.309998,108.340012,27500
2018-02-16,111.309998,112.849998,111.260002,112.059998,109.070000,37700
2018-02-20,112.260002,113.199997,112.120003,112.419998,109.420395,198400
2018-02-21,111.949997,111.949997,110.320000,110.339996,107.395889,156200
2018-02-22,111.099998,111.470001,110.489998,110.949997,107.989616,81400
2018-02-23,111.879997,112.290001,111.379997,112.220001,109.225731,474800
2018-02-26,112.050003,112.339996,111.599998,112.290001,109.293869,23300
2018-02-27,111.849998,112.010002,110.699997,110.940002,107.979881,19700
2018-02-28,112.379997,112.379997,110.820000,110.820000,107.863091,23800
2018-03-01,108.720001,108.730003,106.169998,107.209999,104.349403,150400
2018-03-02,106.879997,107.339996,105.629997,107.339996,104.475937,41000
2018-03-05,107.370003,108.739998,107.089996,108.690002,105.789925,14700
2018-03-06,107.790001,108.459999,107.650002,108.459999,105.566055,19000
2018-03-07,108.019997,108.820000,107.930000,108.709999,105.809387,16500
2018-03-08,109.269997,109.440002,107.500000,107.879997,105.001526,27200
2018-03-09,107.110001,107.260002,106.699997,106.769997,103.921143,75500
2018-03-12,106.139999,106.589996,105.339996,105.750000,102.928368,65800
2018-03-13,105.389999,107.160004,104.160004,106.760002,103.911415,61900
2018-03-14,116.330002,117.580002,116.000000,116.800003,113.683533,123600
2018-03-15,117.599998,119.559998,117.500000,118.809998,115.639893,43300
2018-03-16,119.720001,120.699997,119.290001,119.650002,116.457489,117900
2018-03-19,118.930000,119.279999,118.220001,118.970001,115.795624,92300
2018-03-20,119.500000,119.669998,119.180000,119.599998,116.408821,19700
2018-03-21,120.980003,122.000000,120.980003,121.480003,118.238663,35000
2018-03-22,121.190002,121.510002,120.389999,120.720001,117.498932,110300
2018-03-23,122.330002,122.400002,119.650002,119.900002,116.700813,26500
2018-03-26,121.199997,121.980003,119.610001,121.769997,118.520912,24400
2018-03-27,120.459999,120.930000,118.830002,119.269997,116.087616,186100
2018-03-28,119.720001,119.919998,118.580002,119.000000,115.824821,50000
2018-03-29,120.639999,122.000000,120.639999,121.769997,118.520912,73500
2018-04-02,121.750000,121.750000,119.349998,120.589996,117.372398,107200
2018-04-03,120.959999,121.269997,119.660004,120.529999,117.314003,100300
2018-04-04,120.040001,122.959999,120.000000,122.949997,119.669426,152700
2018-04-05,125.000000,125.199997,124.300003,125.019997,121.684196,95300
2018-04-06,125.129997,125.730003,124.070000,124.680000,121.353271,99800
2018-04-09,124.449997,125.419998,123.879997,124.790001,121.460335,145300
2018-04-10,126.610001,127.150002,126.230003,127.000000,123.611366,59600
2018-04-11,127.260002,128.289993,127.180000,127.449997,124.049362,79000
2018-04-12,128.679993,129.809998,128.399994,129.589996,126.132263,119200
2018-04-13,130.190002,130.250000,129.330002,129.809998,126.346382,21900
2018-04-16,130.559998,130.779999,127.849998,130.639999,127.154251,122300
2018-04-17,131.779999,132.250000,131.550003,131.949997,128.429291,22200
2018-04-18,132.970001,133.009995,132.070007,132.199997,128.672623,57800
2018-04-19,131.479996,131.479996,129.449997,129.839996,126.375587,47400
2018-04-20,129.460007,130.380005,128.770004,129.990005,126.521591,30000
2018-04-23,129.130005,129.429993,128.490005,128.850006,125.412010,41600
2018-04-24,124.910004,125.419998,123.680000,124.019997,120.710876,39200
2018-04-25,123.230003,123.570000,122.699997,123.250000,119.961426,22000
2018-04-26,123.110001,123.580002,122.489998,123.290001,120.000359,18900
2018-04-27,124.129997,124.300003,123.419998,124.290001,120.973679,23300
2018-04-30,123.470001,123.639999,122.610001,122.959999,119.679161,32800
2018-05-01,121.809998,122.680000,121.730003,122.680000,119.406631,24200
2018-05-02,124.320000,124.559998,123.059998,124.000000,120.691422,49700
2018-05-03,119.650002,119.650002,115.370003,117.370003,114.238319,110800
2018-05-04,113.980003,115.360001,113.820000,115.110001,112.038620,98000
2018-05-07,116.220001,116.669998,115.620003,116.080002,112.982742,53700
2018-05-08,114.959999,115.440002,114.720001,115.440002,112.359818,38400
2018-05-09,112.830002,113.809998,112.720001,113.790001,110.753838,43400
2018-05-10,113.550003,114.230003,112.830002,114.230003,112.716957,31600
2018-05-11,113.000000,113.540001,112.849998,113.129997,111.631516,20300
2018-05-14,113.129997,113.809998,112.730003,112.970001,111.473640,25600
2018-05-15,111.519997,112.489998,111.209999,111.790001,110.309273,31700
2018-05-16,114.050003,114.839996,113.820000,114.690002,113.170860,28100
2018-05-17,115.139999,115.320000,114.690002,115.120003,113.595161,22400
2018-05-18,115.029999,115.199997,114.730003,114.830002,113.309006,13000
2018-05-21,115.000000,115.980003,115.000000,115.860001,114.325363,12300
2018-05-22,115.470001,115.830002,114.970001,115.040001,113.516220,27300
2018-05-23,112.510002,114.220001,112.449997,113.910004,112.401192,24200
2018-05-24,114.150002,114.419998,113.300003,114.000000,112.489998,35800
2018-05-25,113.669998,113.720001,112.500000,112.620003,111.128281,76700
2018-05-29,112.120003,112.540001,110.250000,110.709999,109.243576,40600
2018-05-30,113.919998,115.430000,113.389999,115.019997,113.496483,31400
2018-05-31,113.669998,114.010002,112.589996,113.790001,112.282776,25800
2018-06-01,114.459999,114.480003,112.720001,113.089996,111.592049,42400
2018-06-04,113.809998,114.529999,113.650002,114.260002,112.746552,20300
2018-06-05,115.410004,115.820000,114.750000,115.180000,113.654366,36100
2018-06-06,118.739998,120.580002,117.879997,120.529999,118.933502,57000
2018-06-07,117.070000,117.410004,116.029999,116.320000,114.779266,37200
2018-06-08,117.769997,117.830002,117.010002,117.570000,116.012711,44100
2018-06-11,117.040001,117.690002,116.860001,117.180000,115.627876,31800
2018-06-12,116.629997,116.790001,115.279999,115.559998,114.029327,43100
2018-06-13,115.129997,115.500000,114.300003,114.800003,113.279404,67200
2018-06-14,116.320000,116.320000,115.529999,115.970001,114.433907,58100
2018-06-15,116.000000,117.019997,115.750000,116.809998,115.262772,55200
2018-06-18,113.029999,113.519997,112.370003,113.519997,112.016350,47000
2018-06-19,109.750000,110.339996,109.400002,110.290001,108.829140,55600
2018-06-20,109.400002,109.860001,108.690002,109.669998,108.217346,43200
2018-06-21,111.580002,111.820000,109.889999,110.110001,108.651520,162800
2018-06-22,110.860001,111.769997,110.330002,111.400002,109.924438,46800
2018-06-25,110.809998,110.809998,109.169998,109.540001,108.089073,40000
2018-06-26,109.919998,110.019997,108.800003,109.559998,108.108803,25500
2018-06-27,110.470001,110.610001,108.290001,108.290001,106.855629,58400
2018-06-28,106.360001,106.900002,106.099998,106.839996,105.424835,42500
2018-06-29,109.459999,109.809998,108.779999,109.000000,107.556229,81000
2018-07-02,106.669998,107.430000,106.500000,107.430000,106.007019,51100
2018-07-03,108.430000,108.430000,107.629997,107.879997,106.451057,20900
2018-07-05,105.959999,106.750000,105.629997,106.540001,105.128807,30100
2018-07-06,106.589996,107.000000,106.470001,106.699997,105.286690,26600
2018-07-09,107.260002,107.260002,106.800003,107.089996,105.671524,31800
2018-07-10,107.860001,108.750000,107.860001,108.620003,107.181259,62400
2018-07-11,107.669998,107.669998,106.550003,106.849998,105.434700,83500
2018-07-12,107.309998,108.550003,107.150002,108.419998,106.983902,42400
2018-07-13,109.419998,110.050003,109.300003,110.050003,108.592323,13100
2018-07-16,110.199997,110.610001,109.940002,110.599998,109.135033,24500
2018-07-17,109.000000,109.099998,108.580002,108.669998,107.230591,48000
2018-07-18,109.889999,110.339996,109.889999,110.269997,108.809402,24600
2018-07-19,109.660004,110.470001,109.650002,110.099998,108.641655,20000
2018-07-20,110.500000,111.269997,110.500000,111.070000,109.598808,33800
2018-07-23,110.900002,111.279999,110.580002,111.279999,109.806023,25200
2018-07-24,111.559998,112.000000,110.959999,111.180000,109.707352,18900
2018-07-25,111.339996,112.349998,109.919998,112.010002,110.526360,24600
2018-07-26,109.089996,109.690002,108.559998,109.339996,107.891716,35900
2018-07-27,109.790001,110.459999,109.550003,109.980003,108.523247,22800
2018-07-30,111.019997,111.110001,110.389999,110.620003,109.154770,15100
2018-07-31,110.940002,111.120003,110.510002,110.620003,109.154770,18500
2018-08-01,109.309998,110.040001,109.279999,109.820000,108.365364,24800
2018-08-02,107.779999,107.989998,107.089996,107.750000,106.322784,41900
2018-08-03,108.800003,110.139999,108.690002,109.900002,108.444305,35500
2018-08-06,108.959999,108.989998,108.440002,108.779999,107.339134,14200
2018-08-07,109.940002,110.199997,109.779999,109.889999,108.434433,30900
2018-08-08,110.550003,110.839996,109.690002,110.629997,109.164635,34500
2018-08-09,121.830002,121.910004,119.800003,119.889999,118.301979,69900
2018-08-10,118.160004,118.250000,116.779999,117.150002,115.598274,33200
2018-08-13,119.309998,119.489998,118.610001,118.760002,117.186951,25600
2018-08-14,118.800003,119.500000,118.190002,119.019997,117.443497,26600
2018-08-15,117.220001,117.309998,116.089996,116.959999,115.410789,28200
2018-08-16,118.099998,118.930000,118.099998,118.599998,117.029068,30700
2018-08-17,117.239998,118.860001,117.239998,118.580002,117.009331,20500
2018-08-20,119.860001,120.290001,119.559998,119.980003,118.390793,33600
2018-08-21,121.610001,122.139999,121.089996,121.680000,120.068268,24800
2018-08-22,122.019997,122.279999,121.660004,122.150002,120.532043,28900
2018-08-23,123.419998,123.550003,122.139999,122.330002,120.709663,213700
2018-08-24,123.279999,124.669998,123.279999,124.500000,122.850914,27100
2018-08-27,125.470001,126.160004,125.379997,125.910004,124.242249,22100
2018-08-28,127.449997,127.459999,126.000000,126.400002,124.725754,44800
